INFO 2024-09-28 10:47:28,382 autoreload Watching for file changes with StatReloader
INFO 2024-09-28 10:48:20,504 autoreload D:\Work_by_sk\python_project\Assignment\inventory_management\inventory\views.py changed, reloading.
INFO 2024-09-28 10:48:21,165 autoreload Watching for file changes with StatReloader
INFO 2024-09-28 10:49:37,112 autoreload D:\Work_by_sk\python_project\Assignment\inventory_management\inventory\views.py changed, reloading.
INFO 2024-09-28 10:49:37,898 autoreload Watching for file changes with StatReloader
INFO 2024-09-28 10:49:57,096 autoreload Watching for file changes with StatReloader
INFO 2024-09-28 10:51:10,512 autoreload D:\Work_by_sk\python_project\Assignment\inventory_management\inventory_management\settings.py changed, reloading.
INFO 2024-09-28 10:51:11,104 autoreload Watching for file changes with StatReloader
INFO 2024-09-28 10:51:16,557 middleware Request: GET /
INFO 2024-09-28 10:51:16,584 middleware Response: 404
WARNING 2024-09-28 10:51:16,584 basehttp "GET / HTTP/1.1" 404 2563
INFO 2024-09-28 10:51:16,729 middleware Request: GET /favicon.ico
INFO 2024-09-28 10:51:16,738 middleware Response: 404
WARNING 2024-09-28 10:51:16,739 basehttp "GET /favicon.ico HTTP/1.1" 404 2614
INFO 2024-09-28 10:52:49,305 middleware Request: POST /api/token/
INFO 2024-09-28 10:52:49,308 middleware Response: 400
WARNING 2024-09-28 10:52:49,308 basehttp "POST /api/token/ HTTP/1.1" 400 82
INFO 2024-09-28 10:52:57,321 middleware Request: POST /api/token/
INFO 2024-09-28 10:52:59,675 middleware Response: 200
INFO 2024-09-28 10:52:59,675 basehttp "POST /api/token/ HTTP/1.1" 200 483
INFO 2024-09-28 10:54:12,922 middleware Request: GET /api/items/
INFO 2024-09-28 10:54:12,966 views Fetching the list of inventory items
INFO 2024-09-28 10:54:12,974 views Successfully retrieved 2 items
INFO 2024-09-28 10:54:12,974 middleware Response: 200
INFO 2024-09-28 10:54:12,976 basehttp "GET /api/items/ HTTP/1.1" 200 189
INFO 2024-09-28 10:54:58,040 middleware Request: GET /api/items/
INFO 2024-09-28 10:54:58,069 views Fetching the list of inventory items
INFO 2024-09-28 10:54:58,085 views Successfully retrieved 2 items
INFO 2024-09-28 10:54:58,085 middleware Response: 200
INFO 2024-09-28 10:54:58,086 basehttp "GET /api/items/ HTTP/1.1" 200 189
